City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
bilibino,RU,0.5,0.51,0.09,60.8,0.06,220.3,0.0
puerto deseado,AR,0.75,1.63,0.35,51.5,0.01,243.66,0.65
susuman,RU,0.5,0.51,0.04,46.49,0.05,223.64,0.01
isafjordur,IS,0.85,1.74,0.05,83.69,0.04,213.62,0.0
cabugao,PH,3.83,4.4,0.43,64.37,0.34,250.34,1.93
cadale,SO,1.95,9.25,0.03,35.41,0.14,230.31,0.03
whakatane,NZ,4.0,4.65,0.07,59.37,12.4,220.3,0.0
xiongzhou,CN,55.74,61.14,6.6,110.15,10.97,313.76,0.0
childress,US,4.96,5.94,0.98,89.41,0.94,220.3,1.01
grytviken,GS,0.86,1.16,0.02,41.84,0.06,240.33,0.01
vorgashor,RU,0.5,0.82,0.52,53.64,0.2,226.97,0.01
anadyr,RU,0.68,2.14,0.72,60.8,0.43,223.64,0.03
kapa'a,US,2.09,10.24,0.34,60.08,0.14,185.25,0.03
mastic beach,US,3.04,4.39,17.48,57.22,1.68,307.08,0.9
bodo,NO,0.99,1.43,1.24,72.24,0.43,233.65,0.03
pacific grove,US,1.53,4.03,5.31,56.51,0.66,233.65,0.27
waitangi,NZ,0.55,1.93,0.02,55.79,0.08,226.97,0.0
mammoth lakes,US,1.54,1.76,0.37,80.82,0.12,161.89,0.15
colonia,DE,19.39,21.97,13.88,0.0,3.99,363.83,1.68
port lincoln,AU,1.16,4.53,0.1,50.07,0.14,216.96,0.03
qaqortoq,GL,0.67,2.37,0.25,69.38,0.12,216.96,0.0
campoverde,PE,10.93,11.44,0.39,3.13,0.07,303.75,0.32
lebu,CL,1.02,2.06,0.03,47.92,0.2,233.65,0.0
udachny,RU,0.5,0.52,0.08,53.64,0.1,223.64,0.0
kodiak,US,0.5,0.87,0.24,77.96,0.17,223.64,0.01
big bend,SZ,4.96,13.39,1.36,28.25,0.16,323.77,0.56
lerwick,GB,1.66,3.16,4.33,42.2,1.42,206.95,0.18
new norfolk,AU,1.46,1.56,0.32,37.19,0.15,208.62,0.14
aliveri,GR,1.07,4.28,0.4,77.96,0.2,200.27,0.2
ilulissat,GL,0.5,1.11,0.02,113.01,0.0,220.3,0.01
fisterra,ES,1.95,3.62,1.82,86.55,1.04,211.95,0.0
